geracao,melhor_geracao,melhor_global,media_geracao,pior_geracao,std_geracao,soma_preferencias_melhor,penalidade_carga_melhor,penalidade_conflito_melhor,penalidade_carga_total,penalidade_conflito_total,melhoria_relativa,tempo_geracao_seg,stagnation_count,execucao
56,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.28929729999981646,55,2
57,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.28300099999978556,56,2
58,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2870500999997603,57,2
59,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2829497000002448,58,2
60,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2835168000001431,59,2
61,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2927700000000186,60,2
62,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.285096199999316,61,2
63,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.283143900000141,62,2
64,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.3060891000004631,63,2
65,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.297628899999836,64,2
66,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2945478000001458,65,2
67,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2946400000000722,66,2
68,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.3233239000001049,67,2
69,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.30109640000046056,68,2
70,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2894680999997945,69,2
71,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.28290480000032403,70,2
72,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.27819710000039777,71,2
73,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.27814890000081505,72,2
74,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.27931160000116506,73,2
